User	PageRank
AutoModerator	0.056502
rps215	0.050864
Barncore	0.042238
Monketyman	0.038264
TheDuckyNinja	0.033085
Protoman12	0.030170
RafiakaMacakaDirk	0.028623
Carrythefire511	0.023136
mobanks	0.022409
_Quetzalcoatlus_	0.022381
rebal123	0.022005
GuiltyByName	0.021063
jennys0	0.021058
jacksonhoy	0.020887
endubs	0.020613
PacificBrim	0.020558
Mcb3500	0.020501
El_Oso_Borracho	0.020120
ivanalexander23	0.019409
Coys11	0.019078
jjhill001	0.019023
deadskin	0.018432
OrlandoMan80	0.017889
zigzagzil	0.017790
spidersilva09	0.017725
cecilthesheep	0.017414
ChillTownzz	0.017000
teh_noob	0.016997
jaynay1	0.016809
AltChronic	0.016280
scoutshonorbball	0.016270
eg14000	0.015874
brisketis	0.015304
BerryMcockner	0.015075
xychosis	0.014997
twoambien	0.014618
coug117	0.014104
throwaway_5256	0.014078
ILikeAllThings	0.013887
latortillablanca	0.013412
ZanWithThatLean	0.013375
Blackmanwdaplan	0.013299
AWalker17	0.013204
deezee72	0.012671
wilfra	0.012666
cromulent_weasel	0.012125
MrCrushus	0.012055
jefftak7	0.011880
bondom3417	0.011538
ACooperNBA	0.011243
